#all genus associated with D015179: Colorectal Neoplasms; Tumors or cancer of the COLON or the RECTUM or both. Risk factors for colorectal cancer include chronic ULCERATIVE COLITIS; FAMILIAL POLYPOSIS COLI; exposure to ASBESTOS; and irradiation of the CERVIX UTERI.
#in total 1697 valid runs were included in GMrepo.
#please consult our web site for more details.
phenotype	taxonomy rank level	NCBI taxon id	scientific name	super kingdom	Nr. runs in which the species/genus can be found	mean relative abundance	median relative abundance	SD of relative abundance
D015179	genus	469	Acinetobacter	Bacteria	209	0.700128040354067	0.0058827	2.92054521339861	
D015179	genus	475	Moraxella	Bacteria	92	0.396807252076087	0.003415995	2.15462673496111	
D015179	genus	482	Neisseria	Bacteria	190	0.086739210931579	0.005651345	0.444746552047644	
D015179	genus	497	Psychrobacter	Bacteria	52	0.125098849980769	0.00303758	0.476515981924321	
D015179	genus	499	Thermomicrobium	Bacteria	3	0.00250833166666667	0.00177377	0.00205264228985674	
D015179	genus	507	Alcaligenes	Bacteria	19	0.0103029708368421	0.00188051	0.0250707290233158	
D015179	genus	517	Bordetella	Bacteria	46	0.0177139972173913	0.010265	0.0210050156780008	
D015179	genus	522	Acidiphilium	Bacteria	5	0.00141957298	0.000506362	0.00169568295662159	
D015179	genus	528	Ochrobactrum	Bacteria	52	0.0965842027596154	0.00395204	0.286640017765349	
D015179	genus	532	Beijerinckia	Bacteria	5	0.1902885754	0.00139012	0.414799885379475	
D015179	genus	535	Chromobacterium	Bacteria	11	0.00844659254545455	0.00224876	0.0132967986171051	
D015179	genus	538	Eikenella	Bacteria	66	0.474707957863636	0.02134	1.38259189636423	
D015179	genus	541	Zymomonas	Bacteria	11	0.00358077636363636	0.00195545	0.00407537102917244	
D015179	genus	544	Citrobacter	Bacteria	176	0.447927847727273	0.0157906	1.50585150281838	
D015179	genus	547	Enterobacter	Bacteria	173	0.832649472109827	0.0135208	6.88160216560753	
D015179	genus	551	Erwinia	Bacteria	2	0.01588652845	0.01588652845	0.0224520142818594	
D015179	genus	561	Escherichia	Bacteria	1216	3.98872104750247	0.71496	9.54404489389208	
D015179	genus	568	Hafnia	Bacteria	8	0.01452	0.0129	0.0110781277427964	
D015179	genus	570	Klebsiella	Bacteria	495	0.614669657268687	0.0266999	2.10617545123922	
D015179	genus	579	Kluyvera	Bacteria	79	0.00426431136075949	0.00349932	0.00291158234504011	
D015179	genus	581	Morganella	Bacteria	76	1.69295912439474	0.06093175	6.12746491134089	
D015179	genus	583	Proteus	Bacteria	179	0.277658484502793	0.00788333	1.2273891231018	
D015179	genus	586	Providencia	Bacteria	166	0.0380945546325301	0.00575326	0.180900968040602	
D015179	genus	590	Salmonella	Bacteria	270	0.051516404562963	0.0104086	0.233833496738906	
D015179	genus	613	Serratia	Bacteria	16	0.0695979044375	0.009797615	0.16277119983297	
D015179	genus	620	Shigella	Bacteria	348	0.18971711062069	0.03256895	0.636317915738389	
D015179	genus	626	Xenorhabdus	Bacteria	124	0.00972396850806452	0.003681655	0.012472852994949	
D015179	genus	629	Yersinia	Bacteria	55	0.0148075744690909	0.00365564	0.0506709649875596	
D015179	genus	635	Edwardsiella	Bacteria	4	0.04660707475	0.002778909	0.0893881088710091	
D015179	genus	637	Arsenophonus	Bacteria	23	0.00279487373478261	0.00284754	0.00151121182068582	
D015179	genus	642	Aeromonas	Bacteria	274	0.735721519215328	0.008941535	4.52298184209727	
D015179	genus	657	Photobacterium	Bacteria	52	0.00313445938461538	0.002875095	0.00205380595022472	
D015179	genus	662	Vibrio	Bacteria	144	0.00676611358333333	0.0033843	0.0128973358054136	
D015179	genus	702	Plesiomonas	Bacteria	143	0.0491547937972028	0.0055104	0.19081644608649	
D015179	genus	713	Actinobacillus	Bacteria	100	0.00778673853	0.00419437	0.0152113923000886	
D015179	genus	724	Haemophilus	Bacteria	661	0.44561914574584	0.0367794	1.76852127130185	
D015179	genus	745	Pasteurella	Bacteria	10	0.00618848509	0.002309585	0.00723683339989927	
D015179	genus	768	Anaplasma	Bacteria	62	0.0161286517580645	0.01373255	0.0142622640598404	
D015179	genus	773	Bartonella	Bacteria	4	0.01216151675	0.01463515	0.008007886315884	
D015179	genus	776	Coxiella	Bacteria	24	0.0017996909875	0.001628005	0.00127717487044505	
D015179	genus	780	Rickettsia	Bacteria	27	0.00314381674074074	0.0028299	0.00305372521860937	
D015179	genus	810	Chlamydia	Bacteria	6	0.000874391816666667	0.0007932635	0.000690059999903459	
D015179	genus	816	Bacteroides	Bacteria	1651	20.6402731737735	16.2137	17.4365706447198	
D015179	genus	830	Butyrivibrio	Bacteria	297	2.95651034183165	0.0193648	8.08513062210226	
D015179	genus	832	Fibrobacter	Bacteria	34	0.00222766582352941	0.001941165	0.00148062984337849	
D015179	genus	836	Porphyromonas	Bacteria	595	1.42582926609076	0.0258763	5.0547873970803	
D015179	genus	838	Prevotella	Bacteria	1003	6.99712966969292	0.8696	13.0516133023178	
D015179	genus	841	Roseburia	Bacteria	1525	2.14270631715344	0.83113	3.46118191042407	
D015179	genus	843	Wolinella	Bacteria	5	0.00055910198	0.000619756	0.000456641108420773	
D015179	genus	846	Oxalobacter	Bacteria	213	0.049588431314554	0.0117553	0.166456321173101	
D015179	genus	848	Fusobacterium	Bacteria	785	1.9543395058242	0.0860572	6.37462078236225	
D015179	genus	862	Syntrophomonas	Bacteria	46	0.00495104936956522	0.003004845	0.00703764831096855	
D015179	genus	864	Pectinatus	Bacteria	46	0.0309009064130435	0.00330431	0.177677604739994	
D015179	genus	866	Ruminobacter	Bacteria	8	0.0017401474625	0.00185932	0.00127328751130908	
D015179	genus	869	Dichelobacter	Bacteria	2	0.0007328395	0.0007328395	0.000159924219380618	
D015179	genus	872	Desulfovibrio	Bacteria	692	0.392634165066474	0.0587914	0.885871680035279	
D015179	genus	890	Desulfuromonas	Bacteria	8	0.0029012248625	0.003298955	0.00185413967754614	
D015179	genus	893	Desulfobulbus	Bacteria	4	0.001604024125	0.0002889505	0.00277031803781426	
D015179	genus	896	Desulfococcus	Bacteria	35	0.00589216051142857	0.00355707	0.00653310539381969	
D015179	genus	898	Desulfomicrobium	Bacteria	16	0.001264134375	0.000663586	0.00115658728968853	
D015179	genus	904	Acidaminococcus	Bacteria	568	1.20752267751408	0.0739497	3.10187985025649	
D015179	genus	906	Megasphaera	Bacteria	422	0.660222840362559	0.03428	2.21625906995748	
D015179	genus	911	Nitrobacter	Bacteria	1	0.00527565	0.00527565		
D015179	genus	914	Nitrosomonas	Bacteria	9	0.00176086141111111	0.0010574	0.00173993536196817	
D015179	genus	919	Thiobacillus	Bacteria	30	0.00452132366666667	0.003193725	0.00494172357892527	
D015179	genus	933	Thiomicrospira	Bacteria	7	0.00276936171428571	0.00322103	0.00110185368356265	
D015179	genus	943	Ehrlichia	Bacteria	2	0.002330735	0.002330735	0.00148910324156856	
D015179	genus	953	Wolbachia	Bacteria	12	0.0015715604	0.0009485455	0.00156799222322436	
D015179	genus	958	Bdellovibrio	Bacteria	37	0.0381209965297297	0.00357539	0.116459960607439	
D015179	genus	963	Herbaspirillum	Bacteria	55	0.213491345527273	0.0040868	0.687202760811217	
D015179	genus	965	Oceanospirillum	Bacteria	5	0.00217784618	0.00262778	0.00203058925994591	
D015179	genus	970	Selenomonas	Bacteria	186	0.137667162	0.005616835	0.638441291816488	
D015179	genus	978	Cytophaga	Bacteria	6	0.0043546925	0.003427475	0.00421856357763368	
D015179	genus	992	Flexibacter	Bacteria	7	0.00125021357142857	0.000919164	0.00100564035691823	
D015179	genus	1007	Saprospira	Bacteria	3	0.000897637333333333	0.00108457	0.000414159592526037	
D015179	genus	1011	Sporocytophaga	Bacteria	6	0.00603270666666667	0.00297161	0.00756724494715921	
D015179	genus	1013	Weeksella	Bacteria	6	0.0606434493333333	0.001800115	0.133080213159346	
D015179	genus	1016	Capnocytophaga	Bacteria	222	0.138296437457207	0.00564871	0.82945114949286	
D015179	genus	1021	Beggiatoa	Bacteria	3	0.002810871	0.000924035	0.00371901383296338	
D015179	genus	1023	Microscilla	Bacteria	1	0.000422962	0.000422962		
D015179	genus	1030	Thiothrix	Bacteria	5	0.00084603818	0.000924035	0.000651114309456037	
D015179	genus	1041	Erythrobacter	Bacteria	2	0.0004451835	0.0004451835	3.14259466762737e-05	
D015179	genus	1051	Ectothiorhodospira	Bacteria	10	0.0025147442	0.002728765	0.000982149912426113	
D015179	genus	1056	Thiocapsa	Bacteria	1	0.00050902	0.00050902		
D015179	genus	1060	Rhodobacter	Bacteria	9	0.00766303453333333	0.000997103	0.0191702815818057	
D015179	genus	1064	Rhodocyclus	Bacteria	2	0.00466854	0.00466854	0.00351511266209207	
D015179	genus	1068	Rhodomicrobium	Bacteria	5	0.008524337	0.000845923	0.0172441609023567	
D015179	genus	1070	Rhodopila	Bacteria	2	0.002329905	0.002329905	0.00144704453022359	
D015179	genus	1073	Rhodopseudomonas	Bacteria	65	0.00433729241538462	0.00321864	0.00487851531899572	
D015179	genus	1081	Rhodospirillum	Bacteria	6	0.00314403198333333	0.001499907	0.00427463017533767	
D015179	genus	1091	Chlorobium	Bacteria	9	0.00239529955555556	0.002503	0.000940451043729432	
D015179	genus	1099	Pelodictyon	Bacteria	5	0.0024037696	0.000845923	0.00394983117766903	
D015179	genus	1101	Prosthecochloris	Bacteria	1	0.000154939	0.000154939		
D015179	genus	1107	Chloroflexus	Bacteria	6	0.00182201	0.001744415	0.00139564441103943	
D015179	genus	1111	Porphyrobacter	Bacteria	3	0.00274927	0.00124028	0.00271697886228436	
D015179	genus	1125	Microcystis	Bacteria	5	0.00173670058	0.000464817	0.00207629775194603	
D015179	genus	1129	Synechococcus	Bacteria	37	0.00718513394594595	0.00388999	0.0132021764563087	
D015179	genus	1142	Synechocystis	Bacteria	14	0.00865902357142857	0.00184833	0.017111665851625	
D015179	genus	1152	Pseudanabaena	Bacteria	6	0.0427584783333333	0.02796685	0.0445645260536855	
D015179	genus	1154	Spirulina	Bacteria	6	0.00181154881666667	0.00163618	0.00145639295909279	
D015179	genus	1158	Oscillatoria	Bacteria	5	0.185588361	0.218774	0.177098010105536	
D015179	genus	1163	Anabaena	Bacteria	2	0.00167716	0.00167716	0.000618930565572585	
D015179	genus	1177	Nostoc	Bacteria	4	0.01044849175	0.0124692	0.00671462703251185	
D015179	genus	1186	Calothrix	Bacteria	2	0.0004969395	0.0004969395	0.00048366174543838	
D015179	genus	1190	Fischerella	Bacteria	6	0.00119115016666667	0.0009482025	0.000958365789483831	
D015179	genus	1205	Trichodesmium	Bacteria	3	0.0596743333333333	0.0260784	0.0626955263706537	
D015179	genus	1218	Prochlorococcus	Bacteria	7	0.00216950527142857	0.00112171	0.00233056338756294	
D015179	genus	1222	Prochlorothrix	Bacteria	3	0.000794952333333333	0.000929634	0.000285152215745088	
D015179	genus	1227	Nitrosococcus	Bacteria	9	0.00150638565555556	0.000640324	0.00178967183472934	
D015179	genus	1234	Nitrospira	Bacteria	18	0.201898525444444	0.00282452	0.52181018690835	
D015179	genus	1243	Leuconostoc	Bacteria	166	0.157864648271084	0.00741631	0.716547371236047	
D015179	genus	1253	Pediococcus	Bacteria	22	0.0333197903636364	0.003801745	0.0938685992873868	
D015179	genus	1257	Peptostreptococcus	Bacteria	510	0.730226409378431	0.06791	1.55933412887341	
D015179	genus	1263	Ruminococcus	Bacteria	1451	4.43081195330669	1.87341	6.19768607518352	
D015179	genus	1269	Micrococcus	Bacteria	86	0.973188185232558	0.01393155	2.25594102178414	
D015179	genus	1279	Staphylococcus	Bacteria	253	1.36232275866008	0.00862679	6.36621894010407	
D015179	genus	1298	Deinococcus	Bacteria	43	0.0240882407883721	0.00361742	0.0715117246643336	
D015179	genus	1301	Streptococcus	Bacteria	1359	1.60294966889625	0.382498	3.83712439916542	
D015179	genus	1350	Enterococcus	Bacteria	556	1.22194210634173	0.01768815	4.83284131133635	
D015179	genus	1357	Lactococcus	Bacteria	327	0.348090046929664	0.029	2.64337621710351	
D015179	genus	1372	Planococcus	Bacteria	15	0.00787601666666667	0.00175242	0.016840659985039	
D015179	genus	1375	Aerococcus	Bacteria	29	0.0704501163758621	0.00521757	0.329204312608473	
D015179	genus	1378	Gemella	Bacteria	620	0.244186679870968	0.017395	0.911563576585345	
D015179	genus	1380	Atopobium	Bacteria	299	0.172712797548495	0.00676	1.14643518589978	
D015179	genus	1386	Bacillus	Bacteria	379	0.120435728654354	0.00946902	0.690757150684736	
D015179	genus	1485	Clostridium	Bacteria	1330	1.70436723676767	0.367634	3.85026939216345	
D015179	genus	1562	Desulfotomaculum	Bacteria	45	0.00951707734222222	0.00349932	0.0179788768081745	
D015179	genus	1569	Sporosarcina	Bacteria	22	0.01619558435	0.00289762	0.052686909554102	
D015179	genus	1573	Clavibacter	Bacteria	255	0.0435615492333333	0.0150625	0.105739270462859	
D015179	genus	1578	Lactobacillus	Bacteria	681	1.21519229948018	0.05416	4.76120282694297	
D015179	genus	1637	Listeria	Bacteria	9	0.0105452565444444	0.00354755	0.0147441262731388	
D015179	genus	1645	Renibacterium	Bacteria	1	0.000154939	0.000154939		
D015179	genus	1647	Erysipelothrix	Bacteria	26	0.0114260198461538	0.003650265	0.019731622415334	
D015179	genus	1649	Kurthia	Bacteria	20	0.00892969985	0.003720835	0.013722934348375	
D015179	genus	1651	Alloiococcus	Bacteria	2	0.092915335	0.092915335	0.128499213156363	
D015179	genus	1654	Actinomyces	Bacteria	543	0.114475301309392	0.01398	0.30123000768951	
D015179	genus	1663	Arthrobacter	Bacteria	142	0.0398504386197183	0.00468751	0.130109775194399	
D015179	genus	1678	Bifidobacterium	Bacteria	1348	3.70085653314243	1.25122	6.36396505792806	
D015179	genus	1696	Brevibacterium	Bacteria	30	0.109069033133333	0.00220468	0.480379519560914	
D015179	genus	1707	Cellulomonas	Bacteria	22	0.0225923294090909	0.003037115	0.0868907250911212	
D015179	genus	1716	Corynebacterium	Bacteria	239	1.21876067788703	0.00760803	2.95721354011446	
D015179	genus	1730	Eubacterium	Bacteria	1472	5.84984007578125	2.490375	7.71553241410486	
D015179	genus	1740	Thermodesulfobacterium	Bacteria	5	0.00094091338	0.000459582	0.00112390880546901	
D015179	genus	1743	Propionibacterium	Bacteria	72	0.0904882159513889	0.00904	0.215721860046505	
D015179	genus	1754	Thermoanaerobacter	Bacteria	7	0.0089523581	0.00233705	0.0103307524562969	
D015179	genus	1763	Mycobacterium	Bacteria	15	0.0255138058666667	0.00357705	0.0663859163104847	
D015179	genus	1813	Amycolatopsis	Bacteria	15	0.0587390231133333	0.000920086	0.217050433657245	
D015179	genus	1817	Nocardia	Bacteria	12	0.00154118341666667	0.001600925	0.00106407981667247	
D015179	genus	1827	Rhodococcus	Bacteria	46	0.0876863270652174	0.004300075	0.190875752081427	
D015179	genus	1835	Saccharopolyspora	Bacteria	7	0.00297851892857143	0.000973056	0.00471604882433111	
D015179	genus	1839	Nocardioides	Bacteria	19	0.116808011047368	0.00203669	0.290446141185244	
D015179	genus	1847	Pseudonocardia	Bacteria	14	0.217497527	0.007045135	0.640269694417948	
D015179	genus	1851	Saccharomonospora	Bacteria	4	0.003103907625	0.001252996	0.00457267911958674	
D015179	genus	1854	Frankia	Bacteria	9	0.00419441232222222	0.0022646	0.0045697517900555	
D015179	genus	1860	Geodermatophilus	Bacteria	1	2.11139e-05	2.11139e-05		
D015179	genus	1865	Actinoplanes	Bacteria	7	0.00110423312857143	0.000987818	0.000851585457748085	
D015179	genus	1873	Micromonospora	Bacteria	5	0.0192756996	0.000880599	0.0400014430612466	
D015179	genus	1883	Streptomyces	Bacteria	96	0.0442767651979167	0.003162385	0.251075521771459	
D015179	genus	1988	Actinomadura	Bacteria	3	0.00454896333333333	0.00347838	0.002268010103424	
D015179	genus	2000	Streptosporangium	Bacteria	4	0.000696770225	0.000613567	0.000635758438450068	
D015179	genus	2013	Nocardiopsis	Bacteria	8	0.0022369959875	0.0014942395	0.00250103997148336	
D015179	genus	2019	Thermomonospora	Bacteria	1	0.000211481	0.000211481		
D015179	genus	2023	Thermoactinomyces	Bacteria	3	0.00269105896666667	0.00219626	0.00295909225938517	
D015179	genus	2034	Curtobacterium	Bacteria	5	0.00317499214	0.00192082	0.00312729356916892	
D015179	genus	2038	Tropheryma	Bacteria	2	0.0001762515	0.0001762515	3.01404265480766e-05	
D015179	genus	2040	Aeromicrobium	Bacteria	10	0.00525334398	0.00322597	0.0054452261366629	
D015179	genus	2044	Pimelobacter	Bacteria	5	0.01031628816	0.00588582	0.00990206483017168	
D015179	genus	2050	Mobiluncus	Bacteria	10	0.0217582672	0.003044995	0.0602834262389479	
D015179	genus	2053	Gordonia	Bacteria	23	0.138673513695652	0.00265625	0.441533400704103	
D015179	genus	2056	Sphaerobacter	Bacteria	21	0.0415122367619048	0.00270285	0.149664658346888	
D015179	genus	2060	Tsukamurella	Bacteria	5	0.003197481	0.000732086	0.00446535967521968	
D015179	genus	2063	Kitasatospora	Bacteria	4	0.004637459475	0.0021491405	0.00667154977928491	
D015179	genus	2071	Saccharothrix	Bacteria	1	0.000211481	0.000211481		
D015179	genus	2077	Sporolactobacillus	Bacteria	6	0.00705846	0.003041145	0.0101761839606976	
D015179	genus	2086	Anaeroplasma	Bacteria	2	0.00097082195	0.00097082195	0.00134309000460491	
D015179	genus	2093	Mycoplasma	Bacteria	37	0.15597286927027	0.00222821	0.876783901792103	
D015179	genus	2129	Ureaplasma	Bacteria	52	0.006546510075	0.004133945	0.00717198796477685	
D015179	genus	2132	Spiroplasma	Bacteria	98	0.105097894469388	0.005819835	0.405246540602921	
D015179	genus	2147	Acholeplasma	Bacteria	143	0.0149149854685315	0.00509191	0.0322410876426106	
D015179	genus	2152	Asteroleplasma	Bacteria	5	0.00701923094	0.00745712	0.00525189775500694	
D015179	genus	2160	Methanobacterium	Archaea	6	0.272851243333333	0.28644	0.237704772180768	
D015179	genus	2172	Methanobrevibacter	Archaea	532	2.79307393139248	0.51645	5.76530641786274	
D015179	genus	2175	Methanohalophilus	Archaea	1	5.27847e-05	5.27847e-05		
D015179	genus	2179	Methanothermus	Archaea	3	0.001170224	0.00083894	0.000907878036857374	
D015179	genus	2184	Methanococcus	Archaea	1	0.000790255	0.000790255		
D015179	genus	2204	Methanomicrobium	Archaea	1	1.05569e-05	1.05569e-05		
D015179	genus	2207	Methanosarcina	Archaea	1	1.05569e-05	1.05569e-05		
D015179	genus	2222	Methanosaeta	Archaea	1	0.00190233	0.00190233		
D015179	genus	2237	Haloarcula	Archaea	2	0.0004760584	0.0004760584	0.00062845897087043	
D015179	genus	2260	Pyrococcus	Archaea	1	0.000154939	0.000154939		
D015179	genus	2263	Thermococcus	Archaea	4	0.00300373415	0.0017461825	0.00378255066702398	
D015179	genus	2268	Thermofilum	Archaea	2	0.002887146	0.002887146	0.00336693702188087	
D015179	genus	2289	Desulfobacter	Bacteria	1	0.000105569	0.000105569		
D015179	genus	2295	Desulfobacterium	Bacteria	8	0.00102283225	0.0008572005	0.000854031927541814	
D015179	genus	2299	Desulfosarcina	Bacteria	7	0.00172725725714286	0.00208303	0.000982090412793376	
D015179	genus	2316	Methanosphaera	Archaea	37	0.167048700540541	0.00966	0.331796683583865	
D015179	genus	2330	Halanaerobium	Bacteria	4	0.00488048	0.00328858	0.0038677246601415	
D015179	genus	2335	Thermotoga	Bacteria	3	0.200340666666667	0.158348	0.0886697986990685	
D015179	genus	2349	Haliscomenobacter	Bacteria	17	0.00306696104705882	0.00151909	0.004621184039639	
D015179	genus	2351	Flexistipes	Bacteria	2	0.001926953	0.001926953	0.00176501913601468	
D015179	genus	2357	Desulfomonile	Bacteria	12	0.00178962821666667	0.0008599445	0.00181219729349878	
D015179	genus	2370	Xylella	Bacteria	6	0.000625835983333333	0.000303304	0.000937248657644684	
D015179	genus	2373	Acetonema	Bacteria	29	0.00586164457931034	0.00306129	0.00752425084062743	
D015179	genus	2375	Sporomusa	Bacteria	29	0.00438839434482759	0.00287224	0.005857966124138	
D015179	genus	2383	Epulopiscium	Bacteria	1	0.245741	0.245741		
D015179	genus	2420	Thermosipho	Bacteria	2	0.000718537	0.000718537	0.000736767082230198	
D015179	genus	2422	Fervidobacterium	Bacteria	5	0.00089458098	0.00050902	0.00122628459011141	
D015179	genus	2425	Teredinibacter	Bacteria	4	0.00462164125	0.003089424	0.00525847381980446	
D015179	genus	2433	Roseobacter	Bacteria	1	1.05569e-05	1.05569e-05		
D015179	genus	2697	Heliobacterium	Bacteria	46	0.784041070869565	0.00411357	3.3224929349545	
D015179	genus	2701	Gardnerella	Bacteria	22	0.0218208257272727	0.007374465	0.0361237095430239	
D015179	genus	2713	Aquifex	Bacteria	25	0.0073491798	0.00383333	0.00886694551365254	
D015179	genus	2717	Cardiobacterium	Bacteria	58	0.0103889106896552	0.00286153	0.045079614738662	
D015179	genus	2723	Hirschia	Bacteria	76	0.0921166057894737	0.004713935	0.308584248029518	
D015179	genus	2733	Symbiobacterium	Bacteria	12	0.00203315016666667	0.001353852	0.00182916946905503	
D015179	genus	2735	Verrucomicrobium	Bacteria	28	0.0224263995642857	0.003791775	0.09390502493675	
D015179	genus	2737	Vagococcus	Bacteria	10	0.002645254	0.00217293	0.00120204285870347	
D015179	genus	2740	Peptococcus	Bacteria	18	0.328565475333333	0.0583246	0.496164213786481	
D015179	genus	2742	Marinobacter	Bacteria	25	0.00938707364	0.00312935	0.0199314971893051	
D015179	genus	2745	Halomonas	Bacteria	69	0.0118831492463768	0.00306843	0.0554800587061542	
D015179	genus	2747	Carnobacterium	Bacteria	39	0.0101460156923077	0.00300915	0.0192739401439038	
D015179	genus	2753	Synergistes	Bacteria	54	0.733894065740741	0.20174	1.44880165391545	
D015179	genus	2755	Brochothrix	Bacteria	4	0.03275852525	0.002245655	0.0621128839389935	
D015179	genus	12914	Acidianus	Archaea	1	0.00050902	0.00050902		
